0.567,0.771,0.669,0.618,0.567,17,13,8,27
0.613,0.676,0.645,0.623,0.613,19,12,11,23
0.667,0.706,0.686,0.667,0.667,20,10,10,24
0.7,0.559,0.629,0.636,0.7,21,9,15,19
0.633,0.794,0.714,0.679,0.633,19,11,7,27
0.636,0.701,0.669,0.645,0.636,19.2,11.0,10.2,24.0
0.7,0.686,0.693,0.677,0.7,21,9,11,24
0.839,0.618,0.728,0.743,0.839,26,5,13,21
0.633,0.794,0.714,0.679,0.633,19,11,7,27
0.667,0.735,0.701,0.678,0.667,20,10,9,25
0.667,0.706,0.686,0.667,0.667,20,10,10,24
0.701,0.708,0.704,0.689,0.701,21.2,9.0,10.0,24.2
0.667,0.8,0.733,0.702,0.667,20,10,7,28
0.516,0.706,0.611,0.561,0.516,16,15,10,24
0.6,0.676,0.638,0.61,0.6,18,12,11,23
0.633,0.676,0.655,0.633,0.633,19,11,11,23
0.733,0.676,0.705,0.698,0.733,22,8,11,23
0.63,0.707,0.668,0.641,0.63,19.0,11.2,10.0,24.2
0.633,0.6,0.617,0.603,0.633,19,11,14,21
0.677,0.794,0.736,0.712,0.677,21,10,7,27
0.633,0.794,0.714,0.679,0.633,19,11,7,27
0.733,0.647,0.69,0.688,0.733,22,8,12,22
0.767,0.647,0.707,0.708,0.767,23,7,12,22
0.689,0.696,0.693,0.678,0.689,20.8,9.4,10.4,23.8
0.7,0.8,0.75,0.724,0.7,21,9,7,28
0.71,0.853,0.781,0.759,0.71,22,9,5,29
0.667,0.765,0.716,0.69,0.667,20,10,8,26
0.833,0.618,0.725,0.735,0.833,25,5,13,21
0.667,0.676,0.672,0.656,0.667,20,10,11,23
0.715,0.742,0.729,0.713,0.715,21.6,8.6,8.8,25.4
0.767,0.914,0.84,0.821,0.767,23,7,3,32
0.645,0.765,0.705,0.678,0.645,20,11,8,26
0.7,0.765,0.732,0.712,0.7,21,9,8,26
0.8,0.853,0.826,0.814,0.8,24,6,5,29
0.767,0.735,0.751,0.742,0.767,23,7,9,25
0.736,0.806,0.771,0.753,0.736,22.2,8.0,6.6,27.6
0.633,0.686,0.66,0.633,0.633,19,11,11,24
0.774,0.676,0.725,0.727,0.774,24,7,11,23
0.667,0.765,0.716,0.69,0.667,20,10,8,26
0.8,0.912,0.856,0.842,0.8,24,6,3,31
0.667,0.735,0.701,0.678,0.667,20,10,9,25
0.708,0.755,0.731,0.714,0.708,21.4,8.8,8.4,25.8
0.742,0.765,0.753,0.742,0.742,23,8,8,26
0.667,0.8,0.733,0.702,0.667,20,10,7,28
0.867,0.765,0.816,0.812,0.867,26,4,8,26
0.767,0.853,0.81,0.793,0.767,23,7,5,29
0.833,0.824,0.828,0.82,0.833,25,5,6,28
0.775,0.801,0.788,0.774,0.775,23.4,6.8,6.8,27.4
0.733,0.914,0.824,0.8,0.733,22,8,3,32
0.677,0.706,0.692,0.677,0.677,21,10,10,24
0.8,0.794,0.797,0.787,0.8,24,6,7,27
0.733,0.765,0.749,0.733,0.733,22,8,8,26
0.833,0.824,0.828,0.82,0.833,25,5,6,28
0.755,0.801,0.778,0.763,0.755,22.8,7.4,6.8,27.4
0.667,0.714,0.69,0.667,0.667,20,10,10,25
0.806,0.794,0.8,0.794,0.806,25,6,7,27
0.733,0.706,0.72,0.71,0.733,22,8,10,24
0.733,0.676,0.705,0.698,0.733,22,8,11,23
0.6,0.824,0.712,0.667,0.6,18,12,6,28
0.708,0.743,0.725,0.707,0.708,21.4,8.8,8.8,25.4
0.733,0.886,0.81,0.786,0.733,22,8,4,31
0.71,0.765,0.737,0.721,0.71,22,9,8,26
0.667,0.824,0.745,0.714,0.667,20,10,6,28
0.867,0.735,0.801,0.8,0.867,26,4,9,25
0.833,0.706,0.77,0.769,0.833,25,5,10,24
0.762,0.783,0.772,0.758,0.762,23.0,7.2,7.4,26.8
0.8,0.8,0.8,0.787,0.8,24,6,7,28
0.677,0.824,0.75,0.724,0.677,21,10,6,28
0.8,0.765,0.782,0.774,0.8,24,6,8,26
0.833,0.853,0.843,0.833,0.833,25,5,5,29
0.733,0.853,0.793,0.772,0.733,22,8,5,29
0.769,0.819,0.794,0.778,0.769,23.2,7.0,6.2,28.0
